team_id,team_activity,country_code,created_at
6D93DABBFD224A5298862302EC9E86F3,school,NOR,2024-11-14T12:35:40.894Z
E02ADDA38C924FAA9D61E9FF23D389EE,football,GBR,2024-03-27T09:56:21.654Z
BE8BE2BE41314FC6A71991F8AB878640,football,GBR,2024-02-06T07:57:13.000Z
1059CA45A4E347529F8253F86F9784BB,football,GBR,2024-06-30T13:21:30.817Z
16FD18E5066E4213896B9977CC5417ED,football,GBR,2024-08-31T20:29:48.771Z
3EA5474EF569477EA7262F624404AFCE,martial_arts,GBR,2024-06-18T19:35:29.606Z
702EEE472B1A47BC9AB594C2C86633FF,football,NOR,2024-02-02T14:17:33.736Z
C175866A286E4A6991AB8D904A1409E4,cricket,GBR,2024-03-28T19:50:10.638Z
0F43E0D7AEBA49808565A81CBC0E0168,handball,NOR,2024-01-12T15:21:14.271Z
11728D76566240A6B2DCEC3CBF8F0E7A,music,NOR,2024-01-09T08:45:33.419Z
FB7CAACE7F5144C4B7CB3155AB42F9E0,football,GBR,2024-01-30T16:47:06.412Z
6E442484A4294275A4F36215B4ABDAFB,football,GBR,2024-08-05T09:15:13.987Z
D070BADFBB114955B72701CDFC3AD90B,cricket,GBR,2024-11-10T09:16:24.444Z
FB3421CBD3CD4FE6BCE5D15BDE94671E,football,GBR,2024-07-13T15:05:54.553Z
AFFED0B7E52C4901A5F21A382064653C,cricket,GBR,2024-03-09T17:43:23.667Z
3947079ED48F492EB46E2EBF0E0A0955,ice_hockey,NOR,2024-01-31T15:20:25.339Z
E97A0ECDC1754E9EB26AE2A7D35EC023,football,NOR,2024-01-15T21:25:46.544Z
1D6B98E430AD42D6816BFE3734336FFD,cricket,GBR,2024-05-04T22:14:36.678Z
0A0FA3ED95434C6B989E97F211346C93,football,GBR,2024-05-24T09:19:20.556Z
3F5D0789C6FE4EBFBB31B2A4C3BB21FD,figureskating,NOR,2024-01-03T12:06:01.274Z
7F250BCDCD0643D6B76F0F5A452FE09F,football,GBR,2024-07-17T15:49:39.724Z
DC685CBC76A143C08035FE7F4FFC629B,football,GBR,2024-09-20T08:52:20.341Z
B70711836BB043699C81D2AD381509CD,football,GBR,2024-09-04T11:15:09.604Z
044FF47153254A0C92AD46F0FB029FAD,football,GBR,2024-05-26T13:40:41.072Z
D74917FB8B5E4AB895FB8856D57D6B32,football,GBR,2024-10-04T08:49:58.309Z
